flow_id,stime_ms,sub,http_id,value,http_field
3767427320,1631290500944,0,110,nginx/1.14.2,server
3767427320,1631290500944,0,111,"Mozilla/5.0 (Linux; U; Android 4.4.2; de-de; GT-P5200 Build/KOT49H) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30",user_agent
3767427320,1631290500944,0,112,GET /,request_line
3767427320,1631290500944,0,113,keep-alive,connection
3767427320,1631290500944,0,113,keep-alive,connection
3767427320,1631290500944,0,117,192.168.50.106,server_address
3767427320,1631290500944,0,123,200 Build,status
3767427320,1631290500944,0,123,200 OK,status
3767427320,1631290500944,0,120,*/*,accept
3767427320,1631290500944,0,122,text/html; charset=utf-8,content_type
3767427320,1631290500944,0,114,HTTP/1.1,http_version
3767427320,1631290500944,0,114,HTTP/1.1,http_version
3803078657,1631290526751,0,110,nginx/1.14.2,server
3803078657,1631290526751,0,111,UCWEB/2.0(BlackBerry; U; 6.4.0.105; en-us; 9800/6.4.0.105) U2/1.0.0 UCBrowser/8.1.0.216,user_agent
3803078657,1631290526751,0,112,GET /,request_line
3803078657,1631290526751,0,113,keep-alive,connection
3803078657,1631290526751,0,113,keep-alive,connection
3803078657,1631290526751,0,117,192.168.50.106,server_address
3803078657,1631290526751,0,123,200 OK,status
3803078657,1631290526751,0,120,*/*,accept
3803078657,1631290526751,0,122,text/html; charset=utf-8,content_type
3803078657,1631290526751,0,114,HTTP/1.1,http_version
3803078657,1631290526751,0,114,HTTP/1.1,http_version
3130286196,1631290533025,0,110,FX ENET,server
3130286196,1631290533025,0,111,"Mozilla/5.0 (Linux; Android 5.0.2; HTC One Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.84 Mobile Safari/537.36",user_agent
3130286196,1631290533025,0,112,GET /,request_line
3130286196,1631290533025,0,113,keep-alive,connection
3130286196,1631290533025,0,113,close,connection
3130286196,1631290533025,0,117,192.168.50.225,server_address
3130286196,1631290533025,0,118,3145,server_port
3130286196,1631290533025,0,123,200 OK,status
3130286196,1631290533025,0,120,*/*,accept
3130286196,1631290533025,0,122,text/html,content_type
3130286196,1631290533025,0,114,HTTP/1.1,http_version
3130286196,1631290533025,0,114,HTTP/1.1,http_version
2604556439,1631290539248,0,110,lighttpd/1.4.11 (Win32),server
2604556439,1631290539248,0,111,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.89 Safari/537.36 OPR/27.0.1698.89105",user_agent
2604556439,1631290539248,0,112,GET /web_ihmi/index.php,request_line
2604556439,1631290539248,0,113,keep-alive,connection
2604556439,1631290539248,0,117,192.168.50.249,server_address
2604556439,1631290539248,0,123,200 OK,status
2604556439,1631290539248,0,120,*/*,accept
2604556439,1631290539248,0,122,text/html,content_type
